feature,assignation_round,annotations_subset,feature_type,feature_output,feature_biotype,community_flag
Gm22596-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22600-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22602-201,small,small,transcript,transcript_name,snRNA,False
Gm22611-201,small,small,transcript,transcript_name,snRNA,False
Gm22613-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22618-201,small,small,transcript,transcript_name,snRNA,False
Gm22620-201,small,small,transcript,transcript_name,snoRNA,False
Gm22628-201_Gm23733-201_Gm25930-201_Gm24465-201_Gm23649-201_Gm25755-201_Gm22127-201_Gm24168-201_etc,small,small,transcript,transcript_name,snRNA,True
Gm22637-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22656-201,small,small,transcript,transcript_name,snRNA,False
Gm22661-201,small,small,transcript,transcript_name,snoRNA,False
Gm22662-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22667-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22668-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22669-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22676-201,small,small,transcript,transcript_name,snoRNA,False
Gm22680-201,small,small,transcript,transcript_name,snoRNA,False
Gm22682-201,small,small,transcript,transcript_name,snRNA,False
Gm22685-201_Gm23924-201_Gm25793-201_Gm23690-201_Gm22550-201_Gm25987-201_Gm22448-201_Gm22061-201_etc,small,small,transcript,transcript_name,snRNA,True
Gm22687-201,small,small,transcript,transcript_name,rRNA,False
Gm22710-201,small,small,transcript,transcript_name,snRNA,False
Gm22711-202_Gm22711-201,small,small,transcript,transcript_name,snoRNA,True
Gm22726-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22728-201,small,small,transcript,transcript_name,scaRNA,False
Gm22729-201,small,small,transcript,transcript_name,snoRNA,False
Gm22730-201,small,small,transcript,transcript_name,snRNA,False
Gm22740-201,small,small,transcript,transcript_name,snRNA,False
Gm22741-201,small,small,transcript,transcript_name,snRNA,False
Gm22744-201,small,small,transcript,transcript_name,snoRNA,False
Gm22748-201,small,small,transcript,transcript_name,snoRNA,False
Gm22753-201,small,small,transcript,transcript_name,snRNA,False
Gm22767-201,small,small,transcript,transcript_name,scaRNA,False
Gm22771-201,small,small,transcript,transcript_name,snoRNA,False
Gm22781-201,small,small,transcript,transcript_name,snoRNA,False
Gm22784-201,small,small,transcript,transcript_name,snoRNA,False
Gm22786-201,small,small,transcript,transcript_name,snoRNA,False
Gm22794-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22798-201,small,small,transcript,transcript_name,snRNA,False
Gm22806-201_Gm22353-201,small,small,transcript,transcript_name,snoRNA,True
Gm22811-201,small,small,transcript,transcript_name,ribozyme,False
Gm22817-201,small,small,transcript,transcript_name,ribozyme,False
Gm22818-201,small,small,transcript,transcript_name,snRNA,False
Gm22822-201,small,small,transcript,transcript_name,snRNA,False
Gm22823-201,small,small,transcript,transcript_name,snRNA,False
Gm22843-201,small,small,transcript,transcript_name,snoRNA,False
Gm22845-201,small,small,transcript,transcript_name,snRNA,False
Gm22849-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22858-201,small,small,transcript,transcript_name,snoRNA,False
Gm22868-201,small,small,transcript,transcript_name,snRNA,False
Gm22876-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22879-201,small,small,transcript,transcript_name,snoRNA,False
Gm22884-201,small,small,transcript,transcript_name,snoRNA,False
Gm22888-201,small,small,transcript,transcript_name,snoRNA,False
Gm22895-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22902-201,small,small,transcript,transcript_name,ribozyme,False
Gm22927-201,small,small,transcript,transcript_name,snoRNA,False
Gm22940-201,small,small,transcript,transcript_name,snRNA,False
Gm22945-201,small,small,transcript,transcript_name,snRNA,False
Gm22948-201,small,small,transcript,transcript_name,misc_RNA,False
Gm22952-201,small,small,transcript,transcript_name,snoRNA,False
Gm22961-201,small,small,transcript,transcript_name,snRNA,False
Gm22962-201,small,small,transcript,transcript_name,snoRNA,False
Gm22969-201,small,small,transcript,transcript_name,snRNA,False
Gm22972-201,small,small,transcript,transcript_name,snoRNA,False
Gm22977-201,small,small,transcript,transcript_name,snRNA,False
Gm22980-201,small,small,transcript,transcript_name,snoRNA,False
Gm22981-201,small,small,transcript,transcript_name,snoRNA,False
Gm22985-201,small,small,transcript,transcript_name,snRNA,False
Gm22986-201,small,small,transcript,transcript_name,snoRNA,False
Gm22988-201_Gm25291-201_Gm24130-201,small,small,transcript,transcript_name,snoRNA,True
Gm22993-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23002-201_Gm25626-201_Gm24259-201_Gm25323-201_Gm22443-201,small,small,transcript,transcript_name,snRNA,True
Gm23008-201,small,small,transcript,transcript_name,snoRNA,False
Gm23020-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23024-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23027-201,small,small,transcript,transcript_name,snRNA,False
Gm23044-201,small,small,transcript,transcript_name,snRNA,False
Gm23050-201,small,small,transcript,transcript_name,snRNA,False
Gm23054-201,small,small,transcript,transcript_name,snRNA,False
Gm23068-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23081-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23085-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23090-201,small,small,transcript,transcript_name,snoRNA,False
Gm23094-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23095-201_Gm25784-201,small,small,transcript,transcript_name,snRNA,True
Gm23100-201,small,small,transcript,transcript_name,snRNA,False
Gm23103-201_Gm24317-201_Gm24448-201_Gm24565-201_Gm22359-201_Gm26501-201_Gm24261-201_Gm23151-201_etc,small,small,transcript,transcript_name,snRNA,True
Gm23105-201,small,small,transcript,transcript_name,snoRNA,False
Gm23114-201,small,small,transcript,transcript_name,rRNA,False
Gm23119-201,small,small,transcript,transcript_name,scaRNA,False
Gm23120-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23121-201,small,small,transcript,transcript_name,snRNA,False
Gm23127-201,small,small,transcript,transcript_name,snoRNA,False
Gm23130-201,small,small,transcript,transcript_name,snoRNA,False
Gm23136-201,small,small,transcript,transcript_name,snoRNA,False
Gm23137-201_Gm25628-201_Gm24967-201_Gm23058-201,small,small,transcript,transcript_name,snRNA,True
Gm23138-201,small,small,transcript,transcript_name,snRNA,False
Gm23140-201_Gm24319-201_Gm25598-201_Gm24873-201_Gm23453-201_Gm26317-201_Gm25718-201,small,small,transcript,transcript_name,snRNA,True
Gm23142-201,small,small,transcript,transcript_name,snRNA,False
Gm23143-201_Gm25099-201_Gm25313-201_Rnu5g-201_Gm23287-201_Gm24871-201_Gm22265-201,small,small,transcript,transcript_name,snRNA,True
Gm23152-201,small,small,transcript,transcript_name,rRNA,False
Gm23172-201,small,small,transcript,transcript_name,snoRNA,False
Gm23180-201,small,small,transcript,transcript_name,snoRNA,False
Gm23183-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23187-201_Gm22498-201,small,small,transcript,transcript_name,snoRNA,True
Gm23200-201,small,small,transcript,transcript_name,snoRNA,False
Gm23201-201_Gm24123-201,small,small,transcript,transcript_name,snoRNA,True
Gm23202-201,small,small,transcript,transcript_name,snoRNA,False
Gm23209-201,small,small,transcript,transcript_name,snRNA,False
Gm23211-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23212-201,small,small,transcript,transcript_name,snoRNA,False
Gm23214-201,small,small,transcript,transcript_name,snRNA,False
Gm23217-201,small,small,transcript,transcript_name,snRNA,False
Gm23226-201,small,small,transcript,transcript_name,snRNA,False
Gm23245-201,small,small,transcript,transcript_name,snoRNA,False
Gm23246-201,small,small,transcript,transcript_name,snoRNA,False
Gm23250-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23257-201,small,small,transcript,transcript_name,rRNA,False
Gm23262-201,small,small,transcript,transcript_name,snoRNA,False
Gm23296-201_Gm24019-201_Gm26243-201_Gm24859-201,small,small,transcript,transcript_name,snRNA,True
Gm23297-201,small,small,transcript,transcript_name,snoRNA,False
Gm23300-201,small,small,transcript,transcript_name,snoRNA,False
Gm23301-201,small,small,transcript,transcript_name,snoRNA,False
Gm23303-201,small,small,transcript,transcript_name,snRNA,False
Gm23316-201,small,small,transcript,transcript_name,snRNA,False
Gm23322-201,small,small,transcript,transcript_name,snRNA,False
Gm23344-201,small,small,transcript,transcript_name,snoRNA,False
Gm23346-201,small,small,transcript,transcript_name,snoRNA,False
Gm23347-201,small,small,transcript,transcript_name,snoRNA,False
Gm23370-201_Gm23370-202_Gm26413-202_Gm26413-201,small,small,transcript,transcript_name,scaRNA,True
Gm23385-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23392-201,small,small,transcript,transcript_name,rRNA,False
Gm23407-201,small,small,transcript,transcript_name,snRNA,False
Gm23408-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23410-201_Gm24596-201_Gm22251-201,small,small,transcript,transcript_name,snRNA,True
Gm23412-201,small,small,transcript,transcript_name,snRNA,False
Gm23421-201,small,small,transcript,transcript_name,snRNA,False
Gm23430-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23442-201_Gm24143-201,small,small,transcript,transcript_name,snoRNA,True
Gm23445-201_Gm26204-201_Gm22951-201_Gm23714-201_Gm25039-201_Gm24641-201_Gm25484-201_Gm22821-201_etc,small,small,transcript,transcript_name,snRNA,True
Gm23451-201,small,small,transcript,transcript_name,snoRNA,False
Gm23455-201,small,small,transcript,transcript_name,snoRNA,False
Gm23458-201,small,small,transcript,transcript_name,snRNA,False
Gm23474-201,small,small,transcript,transcript_name,snoRNA,False
Gm23482-201,small,small,transcript,transcript_name,snoRNA,False
Gm23499-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23500-201,small,small,transcript,transcript_name,snRNA,False
Gm23512-201,small,small,transcript,transcript_name,snRNA,False
Gm23516-201,small,small,transcript,transcript_name,snRNA,False
Gm23518-201,small,small,transcript,transcript_name,snRNA,False
Gm23537-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23545-201,small,small,transcript,transcript_name,snRNA,False
Gm23546-201,small,small,transcript,transcript_name,snoRNA,False
Gm23547-201,small,small,transcript,transcript_name,snoRNA,False
Gm23553-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23555-201,small,small,transcript,transcript_name,snoRNA,False
Gm23557-201,small,small,transcript,transcript_name,scaRNA,False
Gm23563-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23583-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23590-201,small,small,transcript,transcript_name,snRNA,False
Gm23593-201,small,small,transcript,transcript_name,snoRNA,False
Gm23600-201,small,small,transcript,transcript_name,snoRNA,False
Gm23608-201,small,small,transcript,transcript_name,snoRNA,False
Gm23613-201,small,small,transcript,transcript_name,snoRNA,False
Gm23614-201_Gm23379-201_Gm23104-201_Gm22681-201_Gm24701-201_Gm25354-201_Gm22069-201_Gm22543-201,small,small,transcript,transcript_name,snRNA,True
Gm23623-201,small,small,transcript,transcript_name,snRNA,False
Gm23627-201_Gm24897-201_Gm26107-201_Gm24527-201,small,small,transcript,transcript_name,snRNA,True
Gm23639-201,small,small,transcript,transcript_name,snoRNA,False
Gm23645-201,small,small,transcript,transcript_name,snRNA,False
Gm23647-201,small,small,transcript,transcript_name,rRNA,False
Gm23650-201,small,small,transcript,transcript_name,snoRNA,False
Gm23656-201,small,small,transcript,transcript_name,snRNA,False
Gm23657-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23658-201_Snora19-201,small,small,transcript,transcript_name,snoRNA,True
Gm23661-201,small,small,transcript,transcript_name,snRNA,False
Gm23666-201,small,small,transcript,transcript_name,snoRNA,False
Gm23686-201_Gm25818-201_Gm24405-201_Gm23511-201_Gm26264-201_Gm25587-201_Gm23738-201_Gm22866-201_etc,small,small,transcript,transcript_name,snRNA,True
Gm23691-201_Gm23318-201,small,small,transcript,transcript_name,snRNA,True
Gm23692-201,small,small,transcript,transcript_name,snRNA,False
Gm23706-201,small,small,transcript,transcript_name,snoRNA,False
Gm23712-201_Gm22044-201_Gm22308-201_Gm24492-201_Gm25518-201_Gm23622-201_Gm22003-201_Gm25137-201_etc,small,small,transcript,transcript_name,snRNA,True
Gm23716-201,small,small,transcript,transcript_name,snoRNA,False
Gm23722-201,small,small,transcript,transcript_name,snoRNA,False
Gm23723-201,small,small,transcript,transcript_name,snoRNA,False
Gm23731-201_Gm25709-201_Gm23041-201_Gm24097-201,small,small,transcript,transcript_name,snRNA,True
Gm23734-201,small,small,transcript,transcript_name,snoRNA,False
Gm23736-201,small,small,transcript,transcript_name,snoRNA,False
Gm23743-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23745-201,small,small,transcript,transcript_name,snoRNA,False
Gm23751-201,small,small,transcript,transcript_name,scaRNA,False
Gm23753-201,small,small,transcript,transcript_name,snRNA,False
Gm23775-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23776-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23780-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23787-201,small,small,transcript,transcript_name,snoRNA,False
Gm23788-201,small,small,transcript,transcript_name,snRNA,False
Gm23793-201_Gm23102-201_Gm22365-201,small,small,transcript,transcript_name,snRNA,True
Gm23795-201,small,small,transcript,transcript_name,snoRNA,False
Gm23796-201,small,small,transcript,transcript_name,snRNA,False
Gm23799-201,small,small,transcript,transcript_name,rRNA,False
Gm23817-201,small,small,transcript,transcript_name,snRNA,False
Gm23820-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23822-201,small,small,transcript,transcript_name,snoRNA,False
Gm23829-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23833-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23837-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23845-201,small,small,transcript,transcript_name,snRNA,False
Gm23846-201,small,small,transcript,transcript_name,snRNA,False
Gm23851-201,small,small,transcript,transcript_name,snRNA,False
Gm23862-201,small,small,transcript,transcript_name,snoRNA,False
Gm23867-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23885-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23887-201,small,small,transcript,transcript_name,snRNA,False
Gm23894-201,small,small,transcript,transcript_name,misc_RNA,False
Gm23925-201_Gm25683-201,small,small,transcript,transcript_name,snoRNA,True
Gm23934-201,small,small,transcript,transcript_name,snRNA,False
Gm23946-201,small,small,transcript,transcript_name,snoRNA,False
Gm23957-201,small,small,transcript,transcript_name,rRNA,False
Gm23964-201,small,small,transcript,transcript_name,rRNA,False
Gm23969-201,small,small,transcript,transcript_name,snoRNA,False
Gm23971-201_Rnu2-10-201_Gm24950-201_Gm23849-201_Gm23472-201_Gm23444-201_Gm26316-201_Gm25939-201_etc,small,small,transcript,transcript_name,snRNA,True
Gm23991-201,small,small,transcript,transcript_name,snoRNA,False
Gm23997-201,small,small,transcript,transcript_name,rRNA,False
Gm24003-201,small,small,transcript,transcript_name,snRNA,False
Gm24004-201,small,small,transcript,transcript_name,snRNA,False
Gm24011-201,small,small,transcript,transcript_name,misc_RNA,False
Gm24016-201,small,small,transcript,transcript_name,snoRNA,False
Gm24029-201_Gm24151-201_Gm26494-201_Gm24493-201_Gm24147-201,small,small,transcript,transcript_name,snoRNA,True
Gm24036-201,small,small,transcript,transcript_name,snRNA,False
Gm24037-201,small,small,transcript,transcript_name,snRNA,False
Gm24038-201,small,small,transcript,transcript_name,snRNA,False
Gm24043-201,small,small,transcript,transcript_name,snRNA,False
Gm24044-201_Gm23456-201,small,small,transcript,transcript_name,snoRNA,True
Gm24050-201,small,small,transcript,transcript_name,misc_RNA,False
Gm24056-201,small,small,transcript,transcript_name,snRNA,False
Gm24059-201,small,small,transcript,transcript_name,misc_RNA,False
Gm24065-201,small,small,transcript,transcript_name,misc_RNA,False
Gm24067-201,small,small,transcript,transcript_name,snoRNA,False
Gm24074-201,small,small,transcript,transcript_name,misc_RNA,False
Gm24089-201,small,small,transcript,transcript_name,rRNA,False
Gm24091-201_Gm23711-201,small,small,transcript,transcript_name,snoRNA,True
Gm24113-201,small,small,transcript,transcript_name,misc_RNA,False
Gm24119-201,small,small,transcript,transcript_name,snoRNA,False
Gm24126-201,small,small,transcript,transcript_name,snRNA,False
Gm24134-201,small,small,transcript,transcript_name,snoRNA,False
Gm24136-201_Gm26110-201_Gm24046-201_Gm24621-201_Gm26361-201_Gm25514-201_Gm23470-201_Gm25005-201,small,small,transcript,transcript_name,snRNA,True
Gm24140-201,small,small,transcript,transcript_name,misc_RNA,False
Gm24142-201_Gm24669-201_Gm24678-201,small,small,transcript,transcript_name,snRNA,True
Gm24145-201,small,small,transcript,transcript_name,snRNA,False
Gm24148-201,small,small,transcript,transcript_name,snoRNA,False
Gm24161-201,small,small,transcript,transcript_name,snoRNA,False
Gm24164-201,small,small,transcript,transcript_name,snRNA,False
Gm24166-201,small,small,transcript,transcript_name,snoRNA,False
Gm24182-201,small,small,transcript,transcript_name,snRNA,False
Gm24198-201,small,small,transcript,transcript_name,snRNA,False
Gm24201-201,small,small,transcript,transcript_name,snoRNA,False
Gm24207-201_Gm25964-201_Gm22686-201,small,small,transcript,transcript_name,snRNA,True
Gm24218-201,small,small,transcript,transcript_name,snRNA,False
Gm24233-201,small,small,transcript,transcript_name,snoRNA,False
Gm24234-201,small,small,transcript,transcript_name,snRNA,False
Gm24241-201,small,small,transcript,transcript_name,snoRNA,False
Gm24251-201,small,small,transcript,transcript_name,snRNA,False
Gm24253-201_Snord1c-201,small,small,transcript,transcript_name,snoRNA,True
Gm24260-201,small,small,transcript,transcript_name,snRNA,False
Gm24265-201_Gm24407-201_Gm22122-201_Gm25179-201_Gm24459-201_Gm22249-201_Gm25104-201_Gm25135-201_etc,small,small,transcript,transcript_name,snRNA,True
Gm24279-201,small,small,transcript,transcript_name,snoRNA,False
Gm24281-201,small,small,transcript,transcript_name,snoRNA,False
Gm24289-201_Gm23505-201,small,small,transcript,transcript_name,scaRNA,True
Gm24294-201,small,small,transcript,transcript_name,misc_RNA,False
Gm24299-201,small,small,transcript,transcript_name,snoRNA,False
Gm24311-201,small,small,transcript,transcript_name,snRNA,False
Gm24312-201,small,small,transcript,transcript_name,rRNA,False
Gm24313-201_Gm23568-201_Gm24829-201_Gm24568-201_Gm23561-201,small,small,transcript,transcript_name,snoRNA,True
Gm24336-201,small,small,transcript,transcript_name,snoRNA,False
Gm24339-201,small,small,transcript,transcript_name,snoRNA,False
Gm24346-201,small,small,transcript,transcript_name,snoRNA,False
Gm24356-201,small,small,transcript,transcript_name,snRNA,False
Gm24357-201,small,small,transcript,transcript_name,snoRNA,False
Gm24358-201,small,small,transcript,transcript_name,misc_RNA,False
Gm24359-201,small,small,transcript,transcript_name,misc_RNA,False
Gm24371-201,small,small,transcript,transcript_name,misc_RNA,False
Gm24378-201,small,small,transcript,transcript_name,snRNA,False
Gm24380-201,small,small,transcript,transcript_name,misc_RNA,False
Gm24383-201,small,small,transcript,transcript_name,misc_RNA,False
Gm24388-201,small,small,transcript,transcript_name,snRNA,False
Gm24390-201,small,small,transcript,transcript_name,snRNA,False
Gm24391-201,small,small,transcript,transcript_name,snRNA,False
Gm24399-201,small,small,transcript,transcript_name,snRNA,False
Gm24400-201,small,small,transcript,transcript_name,snRNA,False
Gm24401-201,small,small,transcript,transcript_name,snoRNA,False
Gm24411-201,small,small,transcript,transcript_name,snoRNA,False
Gm24412-201,small,small,transcript,transcript_name,snoRNA,False
Gm24414-201,small,small,transcript,transcript_name,snRNA,False
Gm24423-201,small,small,transcript,transcript_name,snRNA,False
Gm24436-201,small,small,transcript,transcript_name,misc_RNA,False
Gm24439-201,small,small,transcript,transcript_name,snoRNA,False
Gm24444-201,small,small,transcript,transcript_name,misc_RNA,False
Gm24449-201,small,small,transcript,transcript_name,snRNA,False
Gm24451-201,small,small,transcript,transcript_name,snoRNA,False
Gm24452-201,small,small,transcript,transcript_name,snoRNA,False
Gm24453-201,small,small,transcript,transcript_name,snoRNA,False
Gm24454-201,small,small,transcript,transcript_name,snoRNA,False
Gm24455-201,small,small,transcript,transcript_name,snoRNA,False
Gm24456-201,small,small,transcript,transcript_name,snRNA,False
Gm24468-201_Gm23428-201,small,small,transcript,transcript_name,snRNA,True
Gm24471-201,small,small,transcript,transcript_name,snoRNA,False
Gm24486-201,small,small,transcript,transcript_name,snRNA,False
Gm24494-201,small,small,transcript,transcript_name,snoRNA,False
Gm24507-201,small,small,transcript,transcript_name,snoRNA,False
Gm24522-201,small,small,transcript,transcript_name,snRNA,False
Gm24523-201,small,small,transcript,transcript_name,snoRNA,False
Gm24524-201,small,small,transcript,transcript_name,snRNA,False
Gm24530-201,small,small,transcript,transcript_name,misc_RNA,False
Gm24540-201,small,small,transcript,transcript_name,snRNA,False
Gm24547-201,small,small,transcript,transcript_name,snRNA,False
Gm24576-201,small,small,transcript,transcript_name,misc_RNA,False
Gm24578-201,small,small,transcript,transcript_name,snoRNA,False
Gm24593-201,small,small,transcript,transcript_name,snRNA,False
Gm24597-201,small,small,transcript,transcript_name,misc_RNA,False
Gm24598-201,small,small,transcript,transcript_name,snoRNA,False
Gm24601-201,small,small,transcript,transcript_name,rRNA,False
Gm24607-201,small,small,transcript,transcript_name,snoRNA,False
Gm24608-201,small,small,transcript,transcript_name,snoRNA,False
Gm24610-201,small,small,transcript,transcript_name,snoRNA,False
Gm24611-201,small,small,transcript,transcript_name,snRNA,False
Gm24616-201_Gm25588-201_Gm25582-201_Gm24460-201,small,small,transcript,transcript_name,snoRNA,True
Gm24624-201,small,small,transcript,transcript_name,snRNA,False
Gm24628-201,small,small,transcript,transcript_name,misc_RNA,False
Gm24644-201,small,small,transcript,transcript_name,scaRNA,False
Gm24661-201,small,small,transcript,transcript_name,snRNA,False
Gm24671-201,small,small,transcript,transcript_name,snRNA,False
Gm24680-201,small,small,transcript,transcript_name,snoRNA,False
Gm24697-201,small,small,transcript,transcript_name,snRNA,False
Gm24698-201,small,small,transcript,transcript_name,snoRNA,False
Gm24705-201_Gm22264-201_Gm25799-201_Gm25633-201_Gm26064-201,small,small,transcript,transcript_name,snRNA,True
Gm24727-201_Gm23123-201,small,small,transcript,transcript_name,snoRNA,True
Gm24736-201,small,small,transcript,transcript_name,snRNA,False
Gm24753-201,small,small,transcript,transcript_name,snRNA,False
